record_type,run_id,model,item_id,artifact_id,message_type,start_time_utc,end_time_utc,processing_time_ms,batch_start_time_utc,batch_end_time_utc,batch_processing_time_ms,char_count,word_count,token_count,predicted_is_hate,hate_score,label_name,ground_truth_is_hate,manual_is_hate,confusion_class,text,notes,processed_items,total_runtime_ms,min_processing_time_ms,max_processing_time_ms,avg_processing_time_ms,avg_char_count,avg_word_count,avg_token_count,tp,fn,fp,tn
RUN_START,20260531T112657.506153Z,electra_hatexplain,,,,2026-05-31T11:26:57.506+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITEM,20260531T112657.506153Z,electra_hatexplain,1,101,,2026-05-31T11:26:57.522+00:00,2026-05-31T11:26:57.640+00:00,118.275,2026-05-31T11:26:57.522+00:00,2026-05-31T11:27:01.283+00:00,3784.794,5,1,3,False,0.058934,normal,False,,TN,,,,,,,,,,,,,,
ITEM,20260531T112657.506153Z,electra_hatexplain,2,101,,2026-05-31T11:26:57.640+00:00,2026-05-31T11:26:57.758+00:00,118.275,2026-05-31T11:26:57.522+00:00,2026-05-31T11:27:01.283+00:00,3784.794,26,6,9,True,0.659023,hatespeech,True,,TP,,,,,,,,,,,,,,
ITEM,20260531T112657.506153Z,electra_hatexplain,3,102,,2026-05-31T11:26:57.758+00:00,2026-05-31T11:26:57.876+00:00,118.275,2026-05-31T11:26:57.522+00:00,2026-05-31T11:27:01.283+00:00,3784.794,36,6,9,False,0.055926,normal,False,,TN,,,,,,,,,,,,,,
ITEM,20260531T112657.506153Z,electra_hatexplain,4,102,,2026-05-31T11:26:57.876+00:00,2026-05-31T11:26:57.995+00:00,118.275,2026-05-31T11:26:57.522+00:00,2026-05-31T11:27:01.283+00:00,3784.794,60,10,14,False,0.047467,normal,False,,TN,,,,,,,,,,,,,,
ITEM,20260531T112657.506153Z,electra_hatexplain,5,103,,2026-05-31T11:26:57.995+00:00,2026-05-31T11:26:58.113+00:00,118.275,2026-05-31T11:26:57.522+00:00,2026-05-31T11:27:01.283+00:00,3784.794,43,10,14,False,0.077503,normal,False,,TN,,,,,,,,,,,,,,
ITEM,20260531T112657.506153Z,electra_hatexplain,6,103,,2026-05-31T11:26:58.113+00:00,2026-05-31T11:26:58.231+00:00,118.275,2026-05-31T11:26:57.522+00:00,2026-05-31T11:27:01.283+00:00,3784.794,40,7,11,False,0.083782,normal,False,,TN,,,,,,,,,,,,,,
ITEM,20260531T112657.506153Z,electra_hatexplain,7,104,,2026-05-31T11:26:58.231+00:00,2026-05-31T11:26:58.350+00:00,118.275,2026-05-31T11:26:57.522+00:00,2026-05-31T11:27:01.283+00:00,3784.794,43,7,11,False,0.066081,normal,False,,TN,,,,,,,,,,,,,,
ITEM,20260531T112657.506153Z,electra_hatexplain,8,104,,2026-05-31T11:26:58.350+00:00,2026-05-31T11:26:58.468+00:00,118.275,2026-05-31T11:26:57.522+00:00,2026-05-31T11:27:01.283+00:00,3784.794,41,8,12,False,0.047206,normal,False,,TN,,,,,,,,,,,,,,
ITEM,20260531T112657.506153Z,electra_hatexplain,9,105,,2026-05-31T11:26:58.468+00:00,2026-05-31T11:26:58.586+00:00,118.275,2026-05-31T11:26:57.522+00:00,2026-05-31T11:27:01.283+00:00,3784.794,47,8,13,False,0.072951,normal,False,,TN,,,,,,,,,,,,,,
ITEM,20260531T112657.506153Z,electra_hatexplain,10,105,,2026-05-31T11:26:58.586+00:00,2026-05-31T11:26:58.704+00:00,118.275,2026-05-31T11:26:57.522+00:00,2026-05-31T11:27:01.283+00:00,3784.794,35,8,13,False,0.065031,normal,False,,TN,,,,,,,,,,,,,,
ITEM,20260531T112657.506153Z,electra_hatexplain,11,106,,2026-05-31T11:26:58.704+00:00,2026-05-31T11:26:58.823+00:00,118.275,2026-05-31T11:26:57.522+00:00,2026-05-31T11:27:01.283+00:00,3784.794,41,6,9,False,0.094710,normal,False,,TN,,,,,,,,,,,,,,
ITEM,20260531T112657.506153Z,electra_hatexplain,12,106,,2026-05-31T11:26:58.823+00:00,2026-05-31T11:26:58.941+00:00,118.275,2026-05-31T11:26:57.522+00:00,2026-05-31T11:27:01.283+00:00,3784.794,27,4,7,False,0.090717,normal,False,,TN,,,,,,,,,,,,,,
ITEM,20260531T112657.506153Z,electra_hatexplain,13,107,,2026-05-31T11:26:58.941+00:00,2026-05-31T11:26:59.059+00:00,118.275,2026-05-31T11:26:57.522+00:00,2026-05-31T11:27:01.283+00:00,3784.794,49,9,13,False,0.076921,normal,False,,TN,,,,,,,,,,,,,,
ITEM,20260531T112657.506153Z,electra_hatexplain,14,107,,2026-05-31T11:26:59.059+00:00,2026-05-31T11:26:59.177+00:00,118.275,2026-05-31T11:26:57.522+00:00,2026-05-31T11:27:01.283+00:00,3784.794,51,9,13,False,0.052370,normal,False,,TN,,,,,,,,,,,,,,
ITEM,20260531T112657.506153Z,electra_hatexplain,15,108,,2026-05-31T11:26:59.177+00:00,2026-05-31T11:26:59.296+00:00,118.275,2026-05-31T11:26:57.522+00:00,2026-05-31T11:27:01.283+00:00,3784.794,47,7,12,False,0.088290,normal,False,,TN,,,,,,,,,,,,,,
ITEM,20260531T112657.506153Z,electra_hatexplain,16,108,,2026-05-31T11:26:59.296+00:00,2026-05-31T11:26:59.414+00:00,118.275,2026-05-31T11:26:57.522+00:00,2026-05-31T11:27:01.283+00:00,3784.794,35,6,10,False,0.069366,normal,False,,TN,,,,,,,,,,,,,,
ITEM,20260531T112657.506153Z,electra_hatexplain,17,109,,2026-05-31T11:26:59.414+00:00,2026-05-31T11:26:59.532+00:00,118.275,2026-05-31T11:26:57.522+00:00,2026-05-31T11:27:01.283+00:00,3784.794,28,6,9,False,0.069771,normal,False,,TN,,,,,,,,,,,,,,
ITEM,20260531T112657.506153Z,electra_hatexplain,18,109,,2026-05-31T11:26:59.532+00:00,2026-05-31T11:26:59.651+00:00,118.275,2026-05-31T11:26:57.522+00:00,2026-05-31T11:27:01.283+00:00,3784.794,42,10,16,False,0.101465,normal,False,,TN,,,,,,,,,,,,,,
ITEM,20260531T112657.506153Z,electra_hatexplain,19,110,,2026-05-31T11:26:59.651+00:00,2026-05-31T11:26:59.769+00:00,118.275,2026-05-31T11:26:57.522+00:00,2026-05-31T11:27:01.283+00:00,3784.794,29,4,7,False,0.063249,normal,False,,TN,,,,,,,,,,,,,,
ITEM,20260531T112657.506153Z,electra_hatexplain,20,110,,2026-05-31T11:26:59.769+00:00,2026-05-31T11:26:59.887+00:00,118.275,2026-05-31T11:26:57.522+00:00,2026-05-31T11:27:01.283+00:00,3784.794,43,9,14,False,0.072290,normal,False,,TN,,,,,,,,,,,,,,
ITEM,20260531T112657.506153Z,electra_hatexplain,21,111,,2026-05-31T11:26:59.887+00:00,2026-05-31T11:27:00.005+00:00,118.275,2026-05-31T11:26:57.522+00:00,2026-05-31T11:27:01.283+00:00,3784.794,39,7,10,False,0.085968,normal,False,,TN,,,,,,,,,,,,,,
ITEM,20260531T112657.506153Z,electra_hatexplain,22,111,,2026-05-31T11:27:00.005+00:00,2026-05-31T11:27:00.124+00:00,118.275,2026-05-31T11:26:57.522+00:00,2026-05-31T11:27:01.283+00:00,3784.794,38,7,12,False,0.058116,normal,False,,TN,,,,,,,,,,,,,,
